ANGLE, DISTANCE
0, 642.0
1, 640.0
2, 639.75
3, 641.0
4, 639.5
5, 642.5
6, 0
7, 642.25
8, 643.0
9, 645.0
10, 646.5
11, 649.75
12, 652.25
13, 654.0
14, 0
15, 657.0
16, 660.25
17, 662.5
18, 666.25
19, 670.25
20, 673.5
21, 0
22, 678.5
23, 684.25
24, 688.5
25, 693.25
26, 700.25
27, 705.75
28, 699.75
29, 0
30, 670.0
31, 642.5
32, 617.75
33, 594.75
34, 573.0
35, 0
36, 554.25
37, 537.25
38, 519.5
39, 0
40, 504.25
41, 490.75
42, 478.0
43, 465.75
44, 0
45, 454.75
46, 443.75
47, 433.25
48, 425.0
49, 0
50, 415.5
51, 408.5
52, 400.25
53, 392.5
54, 0
55, 386.0
56, 379.25
57, 373.0
58, 367.25
59, 361.75
60, 0
61, 357.25
62, 352.0
63, 347.5
64, 342.75
65, 339.0
66, 0
67, 335.25
68, 331.0
69, 328.0
70, 325.0
71, 0
72, 322.0
73, 318.75
74, 316.75
75, 314.0
76, 311.75
77, 0
78, 310.0
79, 307.75
80, 306.0
81, 304.25
82, 303.5
83, 0
84, 302.0
85, 301.25
86, 301.0
87, 299.25
88, 0
89, 298.0
90, 0
91, 297.75
92, 0
93, 297.25
94, 297.0
95, 297.0
96, 297.75
97, 0
98, 299.0
99, 0
100, 299.75
101, 0
102, 301.0
103, 302.25
104, 302.75
105, 304.25
106, 0
107, 306.0
108, 307.25
109, 308.75
110, 310.75
111, 313.25
112, 315.25
113, 317.25
114, 320.0
115, 322.5
116, 326.0
117, 328.25
118, 0
119, 331.75
120, 335.75
121, 339.25
122, 342.75
123, 346.75
124, 350.75
125, 355.0
126, 359.75
127, 364.25
128, 0
129, 369.25
130, 374.75
131, 380.25
132, 386.25
133, 392.25
134, 398.75
135, 405.25
136, 413.25
137, 421.0
138, 0
139, 438.25
140, 447.75
141, 0
142, 0
143, 328.75
144, 318.75
145, 313.5
146, 0
147, 308.0
148, 301.75
149, 0
150, 298.5
151, 290.75
152, 0
153, 286.25
154, 0
155, 281.5
156, 275.75
157, 0
158, 273.0
159, 269.75
160, 267.0
161, 264.5
162, 0
163, 262.0
164, 259.25
165, 0
166, 256.0
167, 0
168, 253.25
169, 251.75
170, 0
171, 250.0
172, 249.0
173, 0
174, 248.0
175, 247.0
176, 246.0
177, 0
178, 244.5
179, 0
180, 244.0
181, 0
182, 243.75
183, 242.25
184, 239.25
185, 0
186, 244.0
187, 243.0
188, 0
189, 244.25
190, 244.25
191, 246.0
192, 245.75
193, 0
194, 248.0
195, 0
196, 249.75
197, 248.25
198, 252.25
199, 0
200, 253.5
201, 0
202, 257.75
203, 259.25
204, 0
205, 262.75
206, 0
207, 265.0
208, 267.0
209, 271.75
210, 0
211, 277.0
212, 286.5
213, 0
214, 0
215, 3017.75
216, 2911.0
217, 0
218, 2849.0
219, 2784.75
220, 2709.0
221, 3779.0
222, 3777.5
223, 3850.0
224, 3893.0
225, 3928.25
226, 0
227, 3968.75
228, 4025.25
229, 0
230, 749.75
231, 0
232, 736.0
233, 736.25
234, 730.75
235, 736.75
236, 738.75
237, 755.25
238, 0
239, 746.25
240, 760.75
241, 760.5
242, 764.75
243, 758.0
244, 774.5
245, 780.25
246, 0
247, 788.0
248, 794.5
249, 804.5
250, 812.0
251, 822.25
252, 837.25
253, 850.5
254, 0
255, 863.25
256, 870.75
257, 882.5
258, 899.5
259, 949.25
260, 3010.0
261, 3005.0
262, 0
263, 2988.25
264, 2981.5
265, 2973.25
266, 2973.25
267, 2944.75
268, 3059.25
269, 4768.5
270, 4592.25
271, 0
272, 4614.5
273, 4768.5
274, 7134.25
275, 7110.0
276, 7071.5
277, 7129.5
278, 7100.25
279, 0
280, 4740.25
281, 4361.75
282, 2011.75
283, 0
284, 1706.75
285, 1695.5
286, 1403.5
287, 1212.75
288, 0
289, 0
290, 0
291, 0
292, 0
293, 0
294, 0
295, 0
296, 686.0
297, 0
298, 0
299, 0
300, 0
301, 1333.75
302, 1290.25
303, 0
304, 1244.0
305, 0
306, 740.0
307, 0
308, 0
309, 0
310, 0
311, 0
312, 0
313, 0
314, 0
315, 0
316, 0
317, 0
318, 0
319, 0
320, 0
321, 0
322, 0
323, 0
324, 0
325, 0
326, 0
327, 0
328, 0
329, 0
330, 0
331, 0
332, 0
333, 0
334, 0
335, 0
336, 0
337, 0
338, 0
339, 0
340, 0
341, 0
342, 0
343, 0
344, 0
345, 0
346, 0
347, 0
348, 0
349, 0
350, 0
351, 0
352, 0
353, 0
354, 0
355, 0
356, 645.5
357, 641.5
358, 0
359, 642.75
